Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Timeframe
01/01/2020,Oneoff,55.CB,55,cbonds,25000.0,77.58,322,1
01/01/2020,Oneoff,55.SB,55,sbonds,65000.0,253.28,256,1
01/01/2020,Oneoff,55.GO,55,gold,0.0,143.95,0,1
01/01/2020,Oneoff,55.CA,55,cash,0.0,1,0,1
01/01/2020,Oneoff,56.ST,56,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,56.CB,56,cbonds,20000.0,77.58,257,1
01/01/2020,Oneoff,56.SB,56,sbonds,70000.0,253.28,276,1
01/01/2020,Oneoff,56.GO,56,gold,0.0,143.95,0,1
01/01/2020,Oneoff,56.CA,56,cash,0.0,1,0,1
01/01/2020,Oneoff,57.ST,57,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,57.CB,57,cbonds,15000.0,77.58,193,1
01/01/2020,Oneoff,57.SB,57,sbonds,75000.0,253.28,296,1
01/01/2020,Oneoff,57.GO,57,gold,0.0,143.95,0,1
01/01/2020,Oneoff,57.CA,57,cash,0.0,1,0,1
01/01/2020,Oneoff,58.ST,58,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,58.CB,58,cbonds,10000.0,77.58,128,1
01/01/2020,Oneoff,58.SB,58,sbonds,80000.0,253.28,315,1
01/01/2020,Oneoff,58.GO,58,gold,0.0,143.95,0,1
01/01/2020,Oneoff,58.CA,58,cash,0.0,1,0,1
01/01/2020,Oneoff,59.ST,59,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,59.CB,59,cbonds,5000.0,77.58,64,1
01/01/2020,Oneoff,59.SB,59,sbonds,85000.0,253.28,335,1
01/01/2020,Oneoff,59.GO,59,gold,0.0,143.95,0,1
01/01/2020,Oneoff,59.CA,59,cash,0.0,1,0,1
01/01/2020,Oneoff,60.ST,60,stocks,10000.0,194.59,51,1
01/01/2020,Oneoff,60.CB,60,cbonds,0.0,77.58,0,1
01/01/2020,Oneoff,60.SB,60,sbonds,90000.0,253.28,355,1
01/01/2020,Oneoff,60.GO,60,gold,0.0,143.95,0,1
01/01/2020,Oneoff,60.CA,60,cash,0.0,1,0,1
01/01/2020,Oneoff,61.ST,61,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,61.CB,61,cbonds,85000.0,77.58,1095,1
01/01/2020,Oneoff,61.SB,61,sbonds,0.0,253.28,0,1
01/01/2020,Oneoff,61.GO,61,gold,0.0,143.95,0,1
01/01/2020,Oneoff,61.CA,61,cash,0.0,1,0,1
01/01/2020,Oneoff,62.ST,62,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,62.CB,62,cbonds,80000.0,77.58,1031,1
01/01/2020,Oneoff,62.SB,62,sbonds,5000.0,253.28,19,1
01/01/2020,Oneoff,62.GO,62,gold,0.0,143.95,0,1
01/01/2020,Oneoff,62.CA,62,cash,0.0,1,0,1
01/01/2020,Oneoff,63.ST,63,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,63.CB,63,cbonds,75000.0,77.58,966,1
01/01/2020,Oneoff,63.SB,63,sbonds,10000.0,253.28,39,1
01/01/2020,Oneoff,63.GO,63,gold,0.0,143.95,0,1
01/01/2020,Oneoff,63.CA,63,cash,0.0,1,0,1
01/01/2020,Oneoff,64.ST,64,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,64.CB,64,cbonds,70000.0,77.58,902,1
01/01/2020,Oneoff,64.SB,64,sbonds,15000.0,253.28,59,1
01/01/2020,Oneoff,64.GO,64,gold,0.0,143.95,0,1
01/01/2020,Oneoff,64.CA,64,cash,0.0,1,0,1
01/01/2020,Oneoff,65.ST,65,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,65.CB,65,cbonds,65000.0,77.58,837,1
01/01/2020,Oneoff,65.SB,65,sbonds,20000.0,253.28,78,1
01/01/2020,Oneoff,65.GO,65,gold,0.0,143.95,0,1
01/01/2020,Oneoff,65.CA,65,cash,0.0,1,0,1
01/01/2020,Oneoff,66.ST,66,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,66.CB,66,cbonds,60000.0,77.58,773,1
01/01/2020,Oneoff,66.SB,66,sbonds,25000.0,253.28,98,1
01/01/2020,Oneoff,66.GO,66,gold,0.0,143.95,0,1
01/01/2020,Oneoff,66.CA,66,cash,0.0,1,0,1
01/01/2020,Oneoff,67.ST,67,stocks,15000.0,194.59,77,1
01/01/2020,Oneoff,67.CB,67,cbonds,55000.00000000001,77.58,708,1
01/01/2020,Oneoff,67.SB,67,sbonds,30000.0,253.28,118,1
01/01/2020,Oneoff,67.GO,67,gold,0.0,143.95,0,1
